grammar,A,a,Aa,aa,a.a,A.a,a.A,aa.a,aa.A,Aa.a,A.aa,a.aa,a.Aa,Aa.aa,aa.aa,aa.Aa,solution
64,(A),(A),(Aa),(Aa),(A.a),(A.a),(a.a),(Aa).a,a.(Aa),(Aa).a,A.(aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
65,(Aa),(Aa),(Aa),(Aa),(A.a),(A.a),(a.a),(Aa).a,a.(Aa),(Aa).a,A.(aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
66,(Aa),(Aa),(Aa),(Aa),(A.a),(A.a),a.(Aa),(Aa).a,a.(Aa),(Aa).a,A.(aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
67,(Aa),(Aa),(Aa),(Aa),(Aa).a,(Aa).a,a.(Aa),(Aa).a,a.(Aa),(Aa).a,A.(aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
68,(A),(A),(Aa),(Aa),(A.a),(A.a),(A.a),(Aa).a,a.(Aa),(Aa).a,A.(aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
69,(Aa),(Aa),(Aa),(Aa),(A.a),(A.a),(A.a),(Aa).a,a.(Aa),(Aa).a,A.(aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
70,(Aa),(Aa),(Aa),(Aa),(A.a),(A.a),a.(Aa),(Aa).a,aa.(Aa),(Aa).a,(Aa).aa,a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
71,(Aa),(Aa),(Aa),(Aa),(Aa).a,(Aa).a,a.(Aa),(Aa).a,aa.(Aa),(Aa).a,(Aa).aa,a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
72,(Aa),(Aa),(Aa),(Aa),(Aa).a,(Aa).a,a.(Aa),(Aa).a,a.(Aa),(Aa).a,(Aa).aa,a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
73,(A),(A),(Aa),(Aa),(A.a),(A.a),a.(A),(Aa).a,a.(Aa),(Aa).a,(A.a),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
74,(A),(A),(Aa),(Aa),(A.a),(A.a),(a.a),(Aa).a,a.(Aa),(Aa).a,(A.a),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
75,(Aa),(Aa),(Aa),(Aa),(A.a),(A.a),(a.a),(Aa).a,a.(Aa),(Aa).a,(A.a),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
76,(Aa),(Aa),(Aa),(Aa),(A.a),(A.a),a.(Aa),(Aa).a,a.(Aa),(Aa).a,(A.a),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
77,(A),(A),(Aa),(Aa),(A.a),(A.a),(A.a),(Aa).a,a.(Aa),(Aa).a,(A.a),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
78,(Aa),(Aa),(Aa),(Aa),(A.a),(A.a),(A.a),(Aa).a,a.(Aa),(Aa).a,(A.a),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
79,(A),(A),(Aa),(Aa),(A.a),(A.a),a.(A),(Aa).a,a.(Aa),(Aa).a,a.(Aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
80,(A),(A),(Aa),(Aa),(A).a,(A).a,a.(A),(Aa).a,a.(Aa),(Aa).a,a.(Aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
81,(Aa),(Aa),(Aa),(Aa),(Aa).a,(Aa).a,a.(Aa),(Aa).a,a.(Aa),(Aa).a,a.(Aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
82,(A),(A),(Aa),(Aa),(A.a),(A.a),(A.a),(Aa).a,a.(Aa),(Aa).a,a.(Aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
83,(Aa),(Aa),(Aa),(Aa),(A.a),(A.a),(A.a),(Aa).a,a.(Aa),(Aa).a,a.(Aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
84,(A),(A),(Aa),(Aa),(A.a),(A.a),a.(A),(Aa).a,(Aa).a,(Aa).a,a.(Aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
85,(A),(A),(Aa),(Aa),(A).a,(A).a,a.(A),(Aa).a,(Aa).a,(Aa).a,a.(Aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
86,(Aa),(Aa),(Aa),(Aa),(A.a),(A.a),a.(Aa),(Aa).a,(Aa).a,(Aa).a,a.(Aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
87,(Aa),(Aa),(Aa),(Aa),(Aa).a,(Aa).a,a.(Aa),(Aa).a,(Aa).a,(Aa).a,a.(Aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
88,(A),(A),(Aa),(Aa),(A.a),(A.a),(A.a),(Aa).a,(Aa).a,(Aa).a,a.(Aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
89,(Aa),(Aa),(Aa),(Aa),(A.a),(A.a),(A.a),(Aa).a,(Aa).a,(Aa).a,a.(Aa),a.(Aa),a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
90,(A),(A),(Aa),(Aa),(A).a,(A).a,a.(A),aa.(A),aa.(A),(Aa).a,(A).aa,(A).aa,a.(Aa),(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
91,(A),(A),(Aa),(Aa),(A).a,(A).a,a.(A),aa.(A),aa.(A),aa.(A),(A).aa,(A).aa,(A).aa,(Aa).aa,(Aa).aa,aa.(Aa),OT+HG
92,(A),(a),(Aa),(aa),(a.a),(A.a),a.(A),(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
93,(A),(A),(Aa),(aa),(a.a),(A.a),a.(A),(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
94,(A),(a),(Aa),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
95,(A),(A),(Aa),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
96,(A),(aa),(Aa),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
97,(A),(A),(Aa),(aa),(A).a,(A).a,a.(A),(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
98,(A),(aa),(Aa),(aa),(aa).a,(A).a,a.(A),(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
99,(A),(a),(Aa),(aa),(a.a),(A.a),(a.a),(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
100,(A),(A),(Aa),(aa),(a.a),(A.a),(a.a),(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
101,(Aa),(aa),(Aa),(aa),(a.a),(A.a),(a.a),(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
102,(Aa),(aa),(Aa),(aa),(a.a),(A.a),(aa).A,(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
103,(A),(aa),(Aa),(aa),(a.a),A.(aa),(aa).A,(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
104,(Aa),(aa),(Aa),(aa),(a.a),A.(aa),(aa).A,(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
105,(A),(aa),(Aa),(aa),(aa).a,A.(aa),(aa).A,(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
106,(Aa),(aa),(Aa),(aa),(aa).a,A.(aa),(aa).A,(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
107,(A),(a),(Aa),(aa),(a.a),(A.a),(A.a),(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
108,(A),(A),(Aa),(aa),(a.a),(A.a),(A.a),(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
109,(Aa),(aa),(Aa),(aa),(a.a),(A.a),(A.a),(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
110,(A),(a),(Aa),(aa),(a.a),(A).a,a.(A),(aa).a,aa.(A),Aa.(a),(A).aa,a.(aa),(a).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
111,(A),(a),(aa),(aa),(a.a),(A).a,a.(A),(aa).a,aa.(A),Aa.(a),(A).aa,a.(aa),(a).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
112,(A),(a),(A),(aa),(a.a),(A).a,a.(A),(aa).a,aa.(A),Aa.(a),(A).aa,a.(aa),(a).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
113,(A),(a),(Aa),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,Aa.(a),A.(aa),a.(aa),(a).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
114,(A),(A),(Aa),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,Aa.(a),A.(aa),a.(aa),(a).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
115,(A),(a),(aa),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,Aa.(a),A.(aa),a.(aa),(a).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
116,(A),(A),(aa),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,Aa.(a),A.(aa),a.(aa),(a).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
117,(A),(a),(A),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,Aa.(a),A.(aa),a.(aa),(a).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
118,(A),(A),(A),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,Aa.(a),A.(aa),a.(aa),(a).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
119,(A),(A),(Aa),(aa),(A).a,(A).a,a.(A),(aa).a,(aa).A,Aa.(a),A.(aa),a.(aa),(a).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
120,(A),(A),(aa),(aa),(A).a,(A).a,a.(A),(aa).a,(aa).A,Aa.(a),A.(aa),a.(aa),(a).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
121,(A),(A),(A),(aa),(A).a,(A).a,a.(A),(aa).a,(aa).A,Aa.(a),A.(aa),a.(aa),(a).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
122,(A),(A),(Aa),(aa),(A).a,(A).a,a.(A),aa.(A),aa.(A),Aa.(a),(A).aa,(A).aa,(a).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
123,(A),(A),(aa),(aa),(A).a,(A).a,a.(A),aa.(A),aa.(A),Aa.(a),(A).aa,(A).aa,(a).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
124,(A),(A),(A),(aa),(A).a,(A).a,a.(A),aa.(A),aa.(A),Aa.(a),(A).aa,(A).aa,(a).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
125,(A),(a),(aa),(aa),(a.a),(A).a,a.(A),(aa).a,aa.(A),(aa).a,(A).aa,a.(aa),a.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
126,(A),(aa),(aa),(aa),(a.a),(A).a,a.(A),(aa).a,aa.(A),(aa).a,(A).aa,a.(aa),a.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
127,(A),(aa),(aa),(aa),(aa).a,(A).a,a.(A),(aa).a,aa.(A),(aa).a,(A).aa,a.(aa),a.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
128,(A),(a),(aa),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,(aa).a,A.(aa),a.(aa),a.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
129,(A),(A),(aa),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,(aa).a,A.(aa),a.(aa),a.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
130,(A),(aa),(aa),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,(aa).a,A.(aa),a.(aa),a.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
131,(A),(A),(aa),(aa),(A).a,(A).a,a.(A),(aa).a,(aa).A,(aa).a,A.(aa),a.(aa),a.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
132,(A),(aa),(aa),(aa),(aa).a,(A).a,a.(A),(aa).a,(aa).A,(aa).a,A.(aa),a.(aa),a.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
133,(A),(a),(aa),(aa),(a.a),(a.a),(a.a),(aa).a,(aa).A,(aa).a,A.(aa),a.(aa),a.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
134,(A),(A),(aa),(aa),(a.a),(a.a),(a.a),(aa).a,(aa).A,(aa).a,A.(aa),a.(aa),a.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
